Timestamp,Transaction_Type,MIN,P50%,P95%,P99%,MAX
11:00:23,NEWORD,1745,3104,4652,11392,129174
11:00:23,PAYMENT,1121,1612,2200,32062,198814
11:00:23,DELIVERY,2969,4104,8826,15133,98628
11:00:23,SLEV,1377,1578,3954,4082,4198
11:00:23,OSTAT,518,722.5,1134,1460,2756
11:00:33,NEWORD,1539,2624,3886,154026,279061
11:00:33,PAYMENT,1085,1577,2481,145728,471840
11:00:33,DELIVERY,2960,3609,4582,104789,189804
11:00:33,SLEV,1322,1552.5,1890,1931,2026
11:00:33,OSTAT,498,745,979,1044,5547
11:00:43,NEWORD,1528,2540,3889,194186,479305
11:00:43,PAYMENT,1186,1614,2681,91324,393330
11:00:43,DELIVERY,2836,3632.5,4978,168816,170038
11:00:43,SLEV,1426,1650,2354,2489,2523
11:00:43,OSTAT,488,745,1076,1178,1604
11:00:53,NEWORD,1642,2666,102176,190148,215977
11:00:53,PAYMENT,1192,1722,31840,187538,219046
11:00:53,DELIVERY,2694,3719,90498,169845,169845
11:00:53,SLEV,1504,1794,2135,2331,2331
11:00:53,OSTAT,544,851.5,1217,1234,1234
11:01:03,NEWORD,1427,2370.5,3561,165121,207273
11:01:03,PAYMENT,1082,1587,2541,107066,201803
11:01:03,DELIVERY,2480,3356.5,4429,5981,191927
11:01:03,SLEV,1376,1644,2326,2711,2877
11:01:03,OSTAT,585,754,980,1157,1310
11:01:13,NEWORD,1434,2246,3429,182470,268388
11:01:13,PAYMENT,1125,1570,2363,151223,271280
11:01:13,DELIVERY,2524,3086.5,74414,151150,178983
11:01:13,SLEV,1432,1640,2125,2482,2748
11:01:13,OSTAT,516,760,1175,1269,1490
11:01:23,NEWORD,1429,2259,3873,168142,346968
11:01:23,PAYMENT,1097,1610.5,2484,97669,212604
11:01:23,DELIVERY,2560,3134,3618,3929,3942
11:01:23,SLEV,1458,1720,2167,2473,2500
11:01:23,OSTAT,531,744,996,1166,1181
11:01:33,NEWORD,1450,2268,70130,197802,446358
11:01:33,PAYMENT,1157,1625.5,30543,216674,267534
11:01:33,DELIVERY,2299,2939,4115,22389,22389
11:01:33,SLEV,1375,1644.5,2151,2418,2519
11:01:33,OSTAT,523,760,1098,1209,1209
11:01:43,NEWORD,1491,2134,2956,150661,422552
11:01:43,PAYMENT,1142,1613,2470,100797,190795
11:01:43,DELIVERY,2269,3138,93484,180898,205554
11:01:43,SLEV,1447,1669,2100,2178,2362
11:01:43,OSTAT,537,782,1023,1116,1169
11:01:53,NEWORD,1446,2177,3495,117416,278657
11:01:53,PAYMENT,1212,1636,2938,182596,398662
11:01:53,DELIVERY,2480,3128,55232,204247,273498
11:01:53,SLEV,1339,1674,2663,2934,3469
11:01:53,OSTAT,529,764,1211,1485,1525
11:02:03,NEWORD,1460,2097.5,96780,199740,280852
11:02:03,PAYMENT,1108,1559.5,58696,202155,294950
11:02:03,DELIVERY,2331,2951,97882,220477,220477
11:02:03,SLEV,1391,1632,2306,3727,3727
11:02:03,OSTAT,503,762,1030,1167,1167
11:02:13,NEWORD,1376,2024,2938,163281,265283
11:02:13,PAYMENT,1129,1528,2622,159338,333141
11:02:13,DELIVERY,2234,2896,3574,3897,4148
11:02:13,SLEV,1419,1639,2386,2500,3199
11:02:13,OSTAT,495,725,1065,1183,1200
11:02:23,NEWORD,1390,2013,3139,144868,285185
11:02:23,PAYMENT,1051,1550.5,2601,100892,217073
11:02:23,DELIVERY,2169,2920.5,4440,169865,186086
11:02:23,SLEV,1386,1655,2296,2699,3048
11:02:23,OSTAT,490,741.5,1199,1539,1540
11:02:33,NEWORD,1443,2649.5,92488,237728,270529
11:02:33,PAYMENT,1129,1651,60320,189463,446724
11:02:33,DELIVERY,2557,4555.5,6514,7084,7084
11:02:33,SLEV,1457,1669,2330,2412,2412
11:02:33,OSTAT,544,756,1013,1025,1025
11:02:43,NEWORD,2004,3242,93672,223376,266451
11:02:43,PAYMENT,1149,1787,91514,240630,382247
11:02:43,DELIVERY,3119,4479,27794,223868,223868
11:02:43,SLEV,1441,1698.5,2163,2385,2385
11:02:43,OSTAT,499,779,1181,1280,1280
11:02:53,NEWORD,1786,2885,12073,198687,436304
11:02:53,PAYMENT,1114,1642,2898,105212,254259
11:02:53,DELIVERY,2754,3694,17891,220810,220810
11:02:53,SLEV,1363,1643.5,2103,2256,2534
11:02:53,OSTAT,535,717,1021,1175,1203
11:03:03,NEWORD,1647,2614,23675,202415,261971
11:03:03,PAYMENT,1124,1597,3001,170291,215274
11:03:03,DELIVERY,2741,3738,4706,5077,5077
11:03:03,SLEV,1404,1652.5,2043,2139,2172
11:03:03,OSTAT,515,677.5,1017,1177,1534
11:03:13,NEWORD,1599,2694.5,84094,200300,222470
11:03:13,PAYMENT,1195,1723,3166,186410,385516
11:03:13,DELIVERY,2766,3701.5,85092,233220,233220
11:03:13,SLEV,1431,1708.5,2293,4310,4310
11:03:13,OSTAT,486,762.5,1154,1619,1619
11:03:23,NEWORD,1529,2536,25973,194732,276888
11:03:23,PAYMENT,1119,1658,18717,147949,228989
11:03:23,DELIVERY,2602,3401,18694,101066,157374
11:03:23,SLEV,1456,1673.5,2673,2903,2903
11:03:23,OSTAT,479,751.5,1197,1262,1318
11:03:33,NEWORD,1411,2163,3451,86919,301436
11:03:33,PAYMENT,1082,1585,2602,73904,205043
11:03:33,DELIVERY,2516,3260,4806,5001,192691
11:03:33,SLEV,1369,1675,75522,91041,1805144
11:03:33,OSTAT,472,736,1147,1231,1340
11:03:43,NEWORD,1383,1946,2881,63240,181904
11:03:43,PAYMENT,1060,1527.5,2442,77772,171755
11:03:43,DELIVERY,1971,3076,5833,67661,100188
11:03:43,SLEV,1283,1591,73433,77616,78945
11:03:43,OSTAT,479,735.5,1035,1092,1279
11:03:53,NEWORD,1362,1949.5,61923,225491,332242
11:03:53,PAYMENT,1158,1594,70830,231760,308863
11:03:53,DELIVERY,2324,2869.5,44752,214355,214355
11:03:53,SLEV,1404,1613,2293.5,73613,73613
11:03:53,OSTAT,495,661.5,912,1061,1061
11:04:03,NEWORD,1352,1923,6514,142495,216524
11:04:03,PAYMENT,1126,1539.5,2448,85536,244539
11:04:03,DELIVERY,2222,2878,3823,141551,156093
11:04:03,SLEV,1453,1675,76851,78448,83285
11:04:03,OSTAT,491,727,1164,1660,1882
11:04:13,NEWORD,1319,1901,3000,97841,352182
11:04:13,PAYMENT,1078,1516,2902,153500,195632
11:04:13,DELIVERY,2197,2856,3905,64133,64775
11:04:13,SLEV,1418,1645.5,75373,76800,78360
11:04:13,OSTAT,478,711.5,1065,1110,1383
11:04:23,NEWORD,1354,1867,3690,88101,212948
11:04:23,PAYMENT,1108,1525,3178,143297,437809
11:04:23,DELIVERY,2378,2771,5499,132433,210614
11:04:23,SLEV,1378,1657.5,75386,78380,78421
11:04:23,OSTAT,465,729,1063,1438,1495
11:04:33,NEWORD,1375,2060,20959,144322,268106
11:04:33,PAYMENT,1099,1687,21251,123895,264498
11:04:33,DELIVERY,2485,3316,4839,5596,19783
11:04:33,SLEV,1448,1820,84862,90744,96688
11:04:33,OSTAT,496,756,1185,1390,1580
11:04:43,NEWORD,1345,1904,3365,101578,274035
11:04:43,PAYMENT,1102,1551.5,3206,162642,261798
