Time,Container ID,CPU Usage (%),Memory Usage
2024-03-12 10:22:58,590e7c9e393e,0.16%,582.5MiB / 31.34GiB
2024-03-12 10:23:00,590e7c9e393e,31.20%,600.8MiB / 31.34GiB
2024-03-12 10:23:02,590e7c9e393e,30.82%,611.8MiB / 31.34GiB
2024-03-12 10:23:04,590e7c9e393e,31.97%,624.1MiB / 31.34GiB
2024-03-12 10:23:06,590e7c9e393e,13.01%,631.4MiB / 31.34GiB
2024-03-12 10:23:08,590e7c9e393e,17.62%,638.9MiB / 31.34GiB
2024-03-12 10:23:10,590e7c9e393e,14.99%,644.9MiB / 31.34GiB
2024-03-12 10:23:12,590e7c9e393e,16.53%,651.4MiB / 31.34GiB
2024-03-12 10:23:14,590e7c9e393e,15.80%,657.2MiB / 31.34GiB
2024-03-12 10:23:16,590e7c9e393e,12.64%,663.8MiB / 31.34GiB
2024-03-12 10:23:18,590e7c9e393e,11.91%,669.5MiB / 31.34GiB
2024-03-12 10:23:20,590e7c9e393e,13.59%,675.7MiB / 31.34GiB
2024-03-12 10:23:22,590e7c9e393e,17.34%,681.9MiB / 31.34GiB
2024-03-12 10:23:24,590e7c9e393e,12.85%,686.9MiB / 31.34GiB
2024-03-12 10:23:26,590e7c9e393e,0.65%,687.8MiB / 31.34GiB
2024-03-12 10:23:28,590e7c9e393e,17.45%,694.6MiB / 31.34GiB
2024-03-12 10:23:30,590e7c9e393e,14.18%,700.4MiB / 31.34GiB
2024-03-12 10:23:32,590e7c9e393e,2.53%,702.3MiB / 31.34GiB
2024-03-12 10:23:34,590e7c9e393e,1.81%,702.7MiB / 31.34GiB
2024-03-12 10:23:36,590e7c9e393e,2.77%,703.1MiB / 31.34GiB
2024-03-12 10:23:38,590e7c9e393e,17.29%,707.5MiB / 31.34GiB
2024-03-12 10:23:40,590e7c9e393e,15.58%,713.4MiB / 31.34GiB
2024-03-12 10:23:42,590e7c9e393e,11.98%,718.1MiB / 31.34GiB
2024-03-12 10:23:44,590e7c9e393e,16.57%,723.3MiB / 31.34GiB
2024-03-12 10:23:46,590e7c9e393e,11.12%,728.2MiB / 31.34GiB
2024-03-12 10:23:48,590e7c9e393e,13.28%,733.4MiB / 31.34GiB
2024-03-12 10:23:50,590e7c9e393e,15.38%,739.7MiB / 31.34GiB
2024-03-12 10:23:52,590e7c9e393e,13.46%,744.7MiB / 31.34GiB
2024-03-12 10:23:54,590e7c9e393e,17.19%,750.6MiB / 31.34GiB
2024-03-12 10:23:56,590e7c9e393e,19.17%,755.5MiB / 31.34GiB
2024-03-12 10:23:58,590e7c9e393e,8.82%,759.7MiB / 31.34GiB
2024-03-12 10:24:00,590e7c9e393e,14.08%,764.4MiB / 31.34GiB
2024-03-12 10:24:02,590e7c9e393e,12.53%,768.7MiB / 31.34GiB
2024-03-12 10:24:04,590e7c9e393e,14.08%,771.7MiB / 31.34GiB
2024-03-12 10:24:06,590e7c9e393e,14.35%,775.7MiB / 31.34GiB
2024-03-12 10:24:08,590e7c9e393e,17.80%,779.7MiB / 31.34GiB
2024-03-12 10:24:10,590e7c9e393e,1.59%,780MiB / 31.34GiB
2024-03-12 10:24:12,590e7c9e393e,2.83%,780.2MiB / 31.34GiB
2024-03-12 10:24:14,590e7c9e393e,16.05%,782.8MiB / 31.34GiB
2024-03-12 10:24:16,590e7c9e393e,16.18%,786.9MiB / 31.34GiB
2024-03-12 10:24:18,590e7c9e393e,12.79%,790.5MiB / 31.34GiB
2024-03-12 10:24:20,590e7c9e393e,13.57%,794.6MiB / 31.34GiB
2024-03-12 10:24:22,590e7c9e393e,15.24%,799.5MiB / 31.34GiB
2024-03-12 10:24:24,590e7c9e393e,16.88%,804.5MiB / 31.34GiB
2024-03-12 10:24:26,590e7c9e393e,16.44%,808.4MiB / 31.34GiB
2024-03-12 10:24:28,590e7c9e393e,12.88%,812.3MiB / 31.34GiB
2024-03-12 10:24:30,590e7c9e393e,12.50%,815.2MiB / 31.34GiB
2024-03-12 10:24:32,590e7c9e393e,21.89%,819.7MiB / 31.34GiB
2024-03-12 10:24:34,590e7c9e393e,15.62%,823.1MiB / 31.34GiB
2024-03-12 10:24:36,590e7c9e393e,6.06%,824.6MiB / 31.34GiB
2024-03-12 10:24:38,590e7c9e393e,3.11%,824.7MiB / 31.34GiB
2024-03-12 10:24:40,590e7c9e393e,3.24%,825.1MiB / 31.34GiB
2024-03-12 10:24:42,590e7c9e393e,16.22%,828.9MiB / 31.34GiB
2024-03-12 10:24:44,590e7c9e393e,13.16%,832.2MiB / 31.34GiB
2024-03-12 10:24:46,590e7c9e393e,0.85%,833MiB / 31.34GiB
2024-03-12 10:24:48,590e7c9e393e,16.36%,835MiB / 31.34GiB
2024-03-12 10:24:50,590e7c9e393e,14.41%,838.1MiB / 31.34GiB
2024-03-12 10:24:52,590e7c9e393e,13.81%,841.5MiB / 31.34GiB
2024-03-12 10:24:54,590e7c9e393e,15.59%,844.6MiB / 31.34GiB
2024-03-12 10:24:56,590e7c9e393e,9.85%,846.6MiB / 31.34GiB
2024-03-12 10:24:58,590e7c9e393e,13.60%,849.3MiB / 31.34GiB
2024-03-12 10:25:00,590e7c9e393e,13.52%,852.8MiB / 31.34GiB
2024-03-12 10:25:02,590e7c9e393e,15.23%,855.8MiB / 31.34GiB
2024-03-12 10:25:04,590e7c9e393e,18.01%,858MiB / 31.34GiB
2024-03-12 10:25:06,590e7c9e393e,18.32%,861.1MiB / 31.34GiB
2024-03-12 10:25:08,590e7c9e393e,5.49%,862.6MiB / 31.34GiB
2024-03-12 10:25:10,590e7c9e393e,10.40%,864MiB / 31.34GiB
2024-03-12 10:25:12,590e7c9e393e,9.85%,865.1MiB / 31.34GiB
2024-03-12 10:25:14,590e7c9e393e,3.57%,866MiB / 31.34GiB
2024-03-12 10:25:16,590e7c9e393e,9.16%,867.2MiB / 31.34GiB
2024-03-12 10:25:18,590e7c9e393e,8.99%,868.4MiB / 31.34GiB
2024-03-12 10:25:20,590e7c9e393e,2.08%,868.7MiB / 31.34GiB
2024-03-12 10:25:22,590e7c9e393e,3.20%,868.9MiB / 31.34GiB
2024-03-12 10:25:24,590e7c9e393e,7.48%,869.7MiB / 31.34GiB
2024-03-12 10:25:26,590e7c9e393e,6.09%,871.3MiB / 31.34GiB
2024-03-12 10:25:28,590e7c9e393e,12.04%,872.7MiB / 31.34GiB
2024-03-12 10:25:30,590e7c9e393e,8.40%,874MiB / 31.34GiB
2024-03-12 10:25:32,590e7c9e393e,15.61%,893.1MiB / 31.34GiB
2024-03-12 10:25:34,590e7c9e393e,16.47%,898.5MiB / 31.34GiB
2024-03-12 10:25:36,590e7c9e393e,13.84%,907.7MiB / 31.34GiB
2024-03-12 10:25:38,590e7c9e393e,80.17%,912.4MiB / 31.34GiB
2024-03-12 10:25:40,590e7c9e393e,72.30%,909.3MiB / 31.34GiB
2024-03-12 10:25:42,590e7c9e393e,71.58%,916.2MiB / 31.34GiB
