|-----------|------------------|--------|----------|----------|----------|---------|
| Timestamp | Transaction_Type | MIN    | P50%     | P95%     | P99%     | MAX     |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:16  | NEWORD           |   2010 |     3835 |     5430 |    10152 |   12512 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:16  | PAYMENT          |   1307 |     1632 |     3706 |     4296 |    7180 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:16  | DELIVERY         |   4019 |     4659 |     8564 |     9838 |    9838 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:16  | SLEV             |   1125 |     1298 |     3888 |     4497 |    4497 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:16  | OSTAT            |    611 |      751 |      937 |     1263 |    1263 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:18  | NEWORD           |   1724 |     3124 |     4607 |     7253 |   13407 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:18  | PAYMENT          |   1140 |   1667.5 |     3116 |     3450 |    7129 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:18  | DELIVERY         |   3284 |   3994.5 |     5725 |     9462 |    9462 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:18  | SLEV             |   1028 |     1193 |     2151 |     2529 |    2529 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:18  | OSTAT            |    504 |      709 |      833 |      915 |     915 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:20  | NEWORD           |   1614 |     2788 |     4295 |   169468 |  236656 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:20  | PAYMENT          |   1182 |     1660 |     2980 |    17133 |   51321 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:20  | DELIVERY         |   3175 |   3971.5 |     4803 |    10798 |   10798 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:20  | SLEV             |    944 |   1196.5 |     1459 |     1486 |    1486 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:20  | OSTAT            |    516 |      645 |      737 |      840 |     840 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:22  | NEWORD           |   1759 |     2873 |     4423 |   189291 |  283713 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:22  | PAYMENT          |   1193 |     1628 |     3111 |   285971 |  396083 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:22  | DELIVERY         |   3120 |     3620 |   182703 |   182703 |  182703 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:22  | SLEV             |    994 |   1256.5 |     1655 |     1655 |    1655 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:22  | OSTAT            |    519 |    697.5 |      906 |      906 |     906 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:24  | NEWORD           | 456879 | 479270.5 |   501662 |   501662 |  501662 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:24  | PAYMENT          | 301820 | 393175.5 |   484531 |   484531 |  484531 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:26  | NEWORD           | 488299 |   488583 |   979275 |   979275 |  979275 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:26  | DELIVERY         | 464235 |   464235 |   464235 |   464235 |  464235 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:28  | NEWORD           | 788948 |   788948 |   788948 |   788948 |  788948 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:28  | PAYMENT          | 737927 |   737927 |   737927 |   737927 |  737927 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:30  | NEWORD           |   1646 |   2491.5 |     3651 |   189338 |  189704 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:30  | PAYMENT          |   1156 |     1628 |     3087 |   310542 |  629575 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:30  | DELIVERY         |   3376 |   3916.5 |    86012 |    86012 |   86012 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:30  | SLEV             |   1095 |     1191 |     1572 |     1572 |    1572 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:30  | OSTAT            |    546 |      706 |      759 |      793 |     793 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:32  | NEWORD           |   1569 |   2393.5 |     4206 |   208343 |  259421 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:32  | PAYMENT          |   1091 |     1562 |     2822 |    94721 |  121603 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:32  | DELIVERY         |   2678 |     3417 |     4125 |   296686 |  296686 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:32  | SLEV             |   1043 |     1204 |     1272 |     1389 |    1389 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:32  | OSTAT            |    470 |    594.5 |      780 |      872 |     872 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:34  | NEWORD           |   1712 |     2451 |     4237 |   189374 |  257047 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:34  | PAYMENT          |   1109 |     1558 |     2960 |   113963 |  199415 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:34  | DELIVERY         |   2496 |   3362.5 |     3967 |    11696 |   11696 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:34  | SLEV             |   1024 |     1174 |     1429 |     1494 |    1494 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:34  | OSTAT            |    536 |      649 |    843.5 |      881 |     881 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:36  | NEWORD           |  40950 |   115480 |   190010 |   190010 |  190010 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:36  | PAYMENT          |  33363 |   177462 |   320093 |   320093 |  320093 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:36  | DELIVERY         | 151925 |   151925 |   151925 |   151925 |  151925 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:36  | OSTAT            |    780 |      780 |      780 |      780 |     780 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:38  | NEWORD           |  24895 |    49287 |   420511 |   420511 |  420511 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:38  | PAYMENT          |  27004 |    53801 |   228997 |   228997 |  228997 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:38  | DELIVERY         |  97034 |   189815 |   236330 |   236330 |  236330 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:38  | SLEV             |   1424 |     1424 |     1424 |     1424 |    1424 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:40  | NEWORD           |  22426 |    30030 |   406871 |   406871 |  406871 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:40  | PAYMENT          |  23058 |    33053 |   197278 |   207000 |  207000 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:40  | DELIVERY         |  29015 |    29015 |    29015 |    29015 |   29015 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:40  | SLEV             |   1403 |     1462 |     1521 |     1521 |    1521 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:40  | OSTAT            |    782 |    854.5 |      927 |      927 |     927 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:42  | NEWORD           |   1520 |     2264 |     3976 |   284665 |  408819 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:42  | PAYMENT          |   1048 |     1583 |     2664 |    87958 |  104436 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:42  | DELIVERY         |   2632 |     3346 |     4253 |     4283 |    4283 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:42  | SLEV             |   1132 |     1202 |     1284 |     1293 |    1293 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:42  | OSTAT            |    506 |      666 |      743 |      743 |     743 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:44  | NEWORD           |   1331 |   2326.5 |     3404 |    71468 |  251016 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:44  | PAYMENT          |   1066 |   1526.5 |     2908 |   207931 |  269986 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:44  | DELIVERY         |   2365 |     3258 |     5046 |    88950 |   88950 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:44  | SLEV             |   1131 |     1230 |     1435 |     1598 |    1598 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:44  | OSTAT            |    500 |    614.5 |      695 |      711 |     711 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:46  | NEWORD           |   1368 |   2241.5 |    25719 |   198559 |  291895 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:46  | PAYMENT          |   1070 |     1422 |     2489 |   187739 |  223583 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:46  | DELIVERY         |   2725 |     3440 |     3940 |     4383 |    4383 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:46  | SLEV             |   1144 |   1240.5 |     1387 |     1387 |    1387 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:46  | OSTAT            |    495 |      624 |      741 |      741 |     741 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:48  | NEWORD           |   1437 |     2219 |     4056 |   295955 |  300462 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:48  | PAYMENT          |   1054 |     1471 |     2214 |   148196 |  315107 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:48  | DELIVERY         |   2561 |     3168 |     3999 |     4513 |    4513 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:48  | SLEV             |   1073 |   1209.5 |     1420 |     1420 |    1420 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:48  | OSTAT            |    578 |      607 |      652 |      652 |     652 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:50  | NEWORD           |   1470 |   2274.5 |     3640 |    81792 |   92761 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:50  | PAYMENT          |    993 |     1501 |     2705 |   284583 |  286460 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:50  | DELIVERY         |   2550 |     3270 |     4433 |     4617 |    4617 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:50  | SLEV             |   1121 |     1244 |     1431 |     1431 |    1431 |
|-----------|------------------|--------|----------|----------|----------|---------|
| 16:05:50  | OSTAT            |    483 |      621 |      761 |      820 |     820 |
