Time,Container ID,CPU Usage (%),Memory Usage / Limit,Memory Usage (%)
2024-03-09 10:14:25,cbd02fa2bee4,0.76%,574.2MiB / 31.34GiB,1.79%
2024-03-09 10:14:28,cbd02fa2bee4,29.82%,596.6MiB / 31.34GiB,1.86%
2024-03-09 10:14:32,cbd02fa2bee4,29.73%,613.3MiB / 31.34GiB,1.91%
2024-03-09 10:14:35,cbd02fa2bee4,5.74%,621.6MiB / 31.34GiB,1.94%
2024-03-09 10:14:39,cbd02fa2bee4,1.84%,622.3MiB / 31.34GiB,1.94%
2024-03-09 10:14:42,cbd02fa2bee4,12.99%,633.1MiB / 31.34GiB,1.97%
2024-03-09 10:14:46,cbd02fa2bee4,11.22%,642.8MiB / 31.34GiB,2.00%
2024-03-09 10:14:49,cbd02fa2bee4,8.61%,653.8MiB / 31.34GiB,2.04%
2024-03-09 10:14:53,cbd02fa2bee4,9.13%,664.7MiB / 31.34GiB,2.07%
2024-03-09 10:14:56,cbd02fa2bee4,0.89%,669.3MiB / 31.34GiB,2.09%
2024-03-09 10:15:00,cbd02fa2bee4,11.32%,677.7MiB / 31.34GiB,2.11%
2024-03-09 10:15:04,cbd02fa2bee4,15.46%,687.5MiB / 31.34GiB,2.14%
2024-03-09 10:15:07,cbd02fa2bee4,14.67%,708.5MiB / 31.34GiB,2.21%
2024-03-09 10:15:11,cbd02fa2bee4,1.99%,707.5MiB / 31.34GiB,2.20%
2024-03-09 10:15:14,cbd02fa2bee4,12.71%,714.1MiB / 31.34GiB,2.23%
2024-03-09 10:15:18,cbd02fa2bee4,11.81%,723.2MiB / 31.34GiB,2.25%
2024-03-09 10:15:21,cbd02fa2bee4,12.68%,732.5MiB / 31.34GiB,2.28%
2024-03-09 10:15:25,cbd02fa2bee4,11.52%,740.3MiB / 31.34GiB,2.31%
2024-03-09 10:15:28,cbd02fa2bee4,1.24%,747.2MiB / 31.34GiB,2.33%
2024-03-09 10:15:32,cbd02fa2bee4,10.79%,749.3MiB / 31.34GiB,2.34%
2024-03-09 10:15:35,cbd02fa2bee4,13.66%,759.7MiB / 31.34GiB,2.37%
2024-03-09 10:15:39,cbd02fa2bee4,11.60%,767.2MiB / 31.34GiB,2.39%
2024-03-09 10:15:43,cbd02fa2bee4,1.21%,773.8MiB / 31.34GiB,2.41%
2024-03-09 10:15:46,cbd02fa2bee4,2.10%,774.2MiB / 31.34GiB,2.41%
2024-03-09 10:15:50,cbd02fa2bee4,13.75%,780.7MiB / 31.34GiB,2.43%
2024-03-09 10:15:53,cbd02fa2bee4,13.68%,789.1MiB / 31.34GiB,2.46%
2024-03-09 10:15:57,cbd02fa2bee4,10.38%,796MiB / 31.34GiB,2.48%
2024-03-09 10:16:00,cbd02fa2bee4,13.97%,803.4MiB / 31.34GiB,2.50%
2024-03-09 10:16:04,cbd02fa2bee4,1.11%,807.7MiB / 31.34GiB,2.52%
2024-03-09 10:16:07,cbd02fa2bee4,16.13%,814.9MiB / 31.34GiB,2.54%
2024-03-09 10:16:11,cbd02fa2bee4,14.75%,820.5MiB / 31.34GiB,2.56%
