Time,Container Name,CPU Usage (seconds),Memory Usage (current),Memory Usage (peak)
2024-03-08 22:42:26,pgsql,61,2.73GB,2.77GB
2024-03-08 22:42:28,pgsql,61,2.73GB,2.77GB
2024-03-08 22:42:30,pgsql,61,2.73GB,2.77GB
2024-03-08 22:42:32,pgsql,61,2.73GB,2.77GB
2024-03-08 22:42:35,pgsql,61,2.73GB,2.77GB
2024-03-08 22:42:37,pgsql,61,2.74GB,2.77GB
2024-03-08 22:42:39,pgsql,62,2.75GB,2.77GB
2024-03-08 22:42:41,pgsql,63,2.75GB,2.77GB
2024-03-08 22:42:43,pgsql,63,2.75GB,2.77GB
2024-03-08 22:42:45,pgsql,64,2.75GB,2.77GB
2024-03-08 22:42:47,pgsql,64,2.75GB,2.77GB
2024-03-08 22:42:49,pgsql,64,2.75GB,2.77GB
2024-03-08 22:42:51,pgsql,64,2.75GB,2.77GB
2024-03-08 22:42:53,pgsql,65,2.75GB,2.77GB
2024-03-08 22:42:56,pgsql,65,2.75GB,2.77GB
2024-03-08 22:42:58,pgsql,65,2.75GB,2.77GB
2024-03-08 22:43:00,pgsql,66,2.76GB,2.77GB
2024-03-08 22:43:02,pgsql,66,2.76GB,2.77GB
2024-03-08 22:43:04,pgsql,66,2.76GB,2.77GB
2024-03-08 22:43:06,pgsql,67,2.76GB,2.77GB
2024-03-08 22:43:08,pgsql,67,2.76GB,2.77GB
2024-03-08 22:43:10,pgsql,67,2.76GB,2.77GB
2024-03-08 22:43:12,pgsql,67,2.76GB,2.77GB
2024-03-08 22:43:14,pgsql,68,2.76GB,2.77GB
2024-03-08 22:43:16,pgsql,68,2.76GB,2.77GB
2024-03-08 22:43:19,pgsql,68,2.76GB,2.77GB
2024-03-08 22:43:21,pgsql,68,2.76GB,2.77GB
2024-03-08 22:43:23,pgsql,68,2.76GB,2.77GB
2024-03-08 22:43:25,pgsql,68,2.76GB,2.77GB
2024-03-08 22:43:27,pgsql,69,2.76GB,2.77GB
2024-03-08 22:43:29,pgsql,69,2.76GB,2.77GB
2024-03-08 22:43:31,pgsql,69,2.76GB,2.77GB
2024-03-08 22:43:33,pgsql,69,2.76GB,2.77GB
2024-03-08 22:43:35,pgsql,70,2.77GB,2.77GB
2024-03-08 22:43:37,pgsql,70,2.77GB,2.77GB
2024-03-08 22:43:39,pgsql,70,2.77GB,2.77GB
2024-03-08 22:43:42,pgsql,71,2.77GB,2.77GB
2024-03-08 22:43:44,pgsql,71,2.77GB,2.77GB
2024-03-08 22:43:46,pgsql,71,2.77GB,2.77GB
2024-03-08 22:43:48,pgsql,71,2.77GB,2.77GB
2024-03-08 22:43:50,pgsql,71,2.77GB,2.77GB
2024-03-08 22:43:52,pgsql,72,2.77GB,2.77GB
2024-03-08 22:43:54,pgsql,72,2.77GB,2.77GB
2024-03-08 22:43:56,pgsql,72,2.77GB,2.77GB
2024-03-08 22:43:58,pgsql,72,2.77GB,2.77GB
2024-03-08 22:44:00,pgsql,73,2.77GB,2.77GB
2024-03-08 22:44:03,pgsql,73,2.77GB,2.77GB
2024-03-08 22:44:05,pgsql,73,2.77GB,2.77GB
2024-03-08 22:44:07,pgsql,73,2.77GB,2.77GB
2024-03-08 22:44:09,pgsql,74,2.77GB,2.77GB
2024-03-08 22:44:11,pgsql,74,2.77GB,2.77GB
2024-03-08 22:44:13,pgsql,74,2.77GB,2.77GB
2024-03-08 22:44:15,pgsql,74,2.77GB,2.77GB
2024-03-08 22:44:17,pgsql,75,2.78GB,2.78GB
2024-03-08 22:44:19,pgsql,75,2.78GB,2.78GB
2024-03-08 22:44:21,pgsql,75,2.78GB,2.78GB
2024-03-08 22:44:23,pgsql,76,2.78GB,2.78GB
2024-03-08 22:44:26,pgsql,76,2.78GB,2.78GB
2024-03-08 22:44:28,pgsql,76,2.78GB,2.78GB
2024-03-08 22:44:30,pgsql,76,2.78GB,2.78GB
2024-03-08 22:44:32,pgsql,76,2.78GB,2.78GB
2024-03-08 22:44:34,pgsql,77,2.78GB,2.78GB
