Timestamp,Transaction_Type,MIN,P50%,P95%,P99%,MAX
22:42:29,NEWORD,2268,3679,5136,6276,8431
22:42:29,PAYMENT,1484,1779.5,2336.5,2561,7115
22:42:29,DELIVERY,4188,5088,8311,8426,8426
22:42:29,SLEV,1297,1527.5,5415,5485,5485
22:42:29,OSTAT,680,942,1544,2307,2307
22:42:31,NEWORD,1965,3296,4198,4822,15250
22:42:31,PAYMENT,1386,1745,2220,2423,6601
22:42:31,DELIVERY,3234,3960,4733,5118,5118
22:42:31,SLEV,1198,1393,1573,3143,3143
22:42:31,OSTAT,649,887.5,1208,1328,1328
22:42:33,NEWORD,1860,3157,4258,6843,35246
22:42:33,PAYMENT,1221,1724,2199,2722,20455
22:42:33,DELIVERY,3229,3749,4232,144972,144972
22:42:33,SLEV,1223,1413,1927,4363,4363
22:42:33,OSTAT,634,803,1116,1320,1320
22:42:35,NEWORD,2165,3084,4091,182139,205977
22:42:35,PAYMENT,1274,1771,52671,149076,159257
22:42:35,DELIVERY,3223,3895,4336,4400,4400
22:42:35,SLEV,1512,1636,2260,2260,2260
22:42:35,OSTAT,685,895.5,1102,1102,1102
22:42:37,NEWORD,17157,21734,179468,206902,206902
22:42:37,PAYMENT,17923,30466,188250,205582,205582
22:42:37,SLEV,1491,1803,3222,3222,3222
22:42:37,OSTAT,969,1066,1163,1163,1163
22:42:39,NEWORD,1936,2971,91666,197911,310933
22:42:39,PAYMENT,1289,1735,21132,87279,94035
22:42:39,DELIVERY,3268,3776,17795,17795,17795
22:42:39,SLEV,1256,1405,1448,1448,1448
22:42:39,OSTAT,806,981,1018,1018,1018
22:42:41,NEWORD,1920,2898.5,3935,74997,96668
22:42:41,PAYMENT,1302,1777,73968,193415,203384
22:42:41,DELIVERY,3341,4179,15319,88627,88627
22:42:41,SLEV,1307,1413,1934,1934,1934
22:42:41,OSTAT,709,769,1109,1150,1150
22:42:43,NEWORD,1923,2790,5348,164590,215923
22:42:43,PAYMENT,1232,1747,2363,47211,109779
22:42:43,DELIVERY,3127,3775,4100,4415,4415
22:42:43,SLEV,1185,1411.5,1689,1818,1818
22:42:43,OSTAT,571,885,1069,1179,1179
22:42:45,NEWORD,1873,2709,4311,170694,198898
22:42:45,PAYMENT,1263,1608,3206,87624,90811
22:42:45,DELIVERY,3214,3477,4064,4408,4408
22:42:45,SLEV,1213,1444.5,1763,1928,1928
22:42:45,OSTAT,526,831,1190,1394,1394
22:42:47,NEWORD,1706,2817.5,6865,209695,218825
22:42:47,PAYMENT,1330,1686.5,2465,35734,129861
22:42:47,DELIVERY,3001,3732,4456,104240,104240
22:42:47,SLEV,1253,1403.5,1534,1550,1550
22:42:47,OSTAT,574,863.5,1060,1261,1261
22:42:49,NEWORD,1883,2719,3613,58912,229511
22:42:49,PAYMENT,1277,1679,2435,70959,136859
22:42:49,DELIVERY,2651,3637,88994.5,170941,170941
22:42:49,SLEV,1174,1365,1515,1649,1649
22:42:49,OSTAT,628,840,1027,1092,1092
22:42:51,NEWORD,1859,2638,3715,73195,211447
22:42:51,PAYMENT,1239,1640,2261,51003,182854
22:42:51,DELIVERY,3108,3433,3826,3886,3886
22:42:51,SLEV,1276,1431,1569,1590,1590
22:42:51,OSTAT,638,810.5,1163,1163,1163
22:42:53,NEWORD,2006,2788,4153,69859,85477
22:42:53,PAYMENT,1341,1836,54021,173213,197829
22:42:53,DELIVERY,2941,3748,4108,4645,4645
22:42:53,SLEV,1277,1475,1774,1853,1853
22:42:53,OSTAT,671,913.5,1155,1814,1814
22:42:55,NEWORD,1722,2691,3661,162115,179575
22:42:55,PAYMENT,1263,1707,2330,76940,187256
22:42:55,DELIVERY,3409,3552,3947,3947,3947
22:42:55,SLEV,1253,1453.5,2069.5,2268,2268
22:42:55,OSTAT,664,894,1207,1422,1422
22:42:57,NEWORD,1766,2677,3557,60904,207596
22:42:57,PAYMENT,1301,1745.5,2200,69855,168956
22:42:57,DELIVERY,3037,3425,3987,4199,4199
22:42:57,SLEV,1319,1485,1620,1674,1674
22:42:57,OSTAT,628,861,1351,1381,1381
22:42:59,NEWORD,1951,2766,4422,164344,363316
22:42:59,PAYMENT,1365,1789,2311,73698,201768
22:42:59,DELIVERY,2704,3288.5,329044,329044,329044
22:42:59,SLEV,1226,1474,1612,1612,1612
22:42:59,OSTAT,618,952,1093,1142,1142
22:43:01,NEWORD,23547,166723.5,230007,230007,230007
22:43:01,PAYMENT,13219,87725.5,406628,406628,406628
22:43:01,SLEV,1674,1697,1720,1720,1720
22:43:03,NEWORD,1699,2563,10156,217455,430197
