Time,Container Name,CPU Usage (seconds),Memory Usage (current),Memory Usage (peak)
2024-03-09 11:09:39,pgsql,53,2.73GB,2.77GB
2024-03-09 11:09:41,pgsql,53,2.73GB,2.77GB
2024-03-09 11:09:43,pgsql,53,2.73GB,2.77GB
2024-03-09 11:09:45,pgsql,53,2.73GB,2.77GB
2024-03-09 11:09:47,pgsql,53,2.73GB,2.77GB
2024-03-09 11:09:49,pgsql,53,2.74GB,2.77GB
2024-03-09 11:09:52,pgsql,54,2.74GB,2.77GB
2024-03-09 11:09:54,pgsql,55,2.75GB,2.77GB
2024-03-09 11:09:56,pgsql,55,2.75GB,2.77GB
2024-03-09 11:09:58,pgsql,55,2.75GB,2.77GB
2024-03-09 11:10:00,pgsql,56,2.75GB,2.77GB
2024-03-09 11:10:02,pgsql,56,2.75GB,2.77GB
2024-03-09 11:10:04,pgsql,56,2.75GB,2.77GB
2024-03-09 11:10:06,pgsql,56,2.75GB,2.77GB
2024-03-09 11:10:08,pgsql,57,2.75GB,2.77GB
2024-03-09 11:10:10,pgsql,57,2.75GB,2.77GB
2024-03-09 11:10:12,pgsql,57,2.76GB,2.77GB
2024-03-09 11:10:14,pgsql,58,2.76GB,2.77GB
2024-03-09 11:10:17,pgsql,58,2.76GB,2.77GB
2024-03-09 11:10:19,pgsql,58,2.76GB,2.77GB
2024-03-09 11:10:21,pgsql,58,2.76GB,2.77GB
2024-03-09 11:10:23,pgsql,59,2.76GB,2.77GB
2024-03-09 11:10:25,pgsql,59,2.76GB,2.77GB
2024-03-09 11:10:27,pgsql,59,2.76GB,2.77GB
2024-03-09 11:10:29,pgsql,59,2.76GB,2.77GB
2024-03-09 11:10:31,pgsql,59,2.76GB,2.77GB
2024-03-09 11:10:33,pgsql,59,2.76GB,2.77GB
2024-03-09 11:10:35,pgsql,59,2.76GB,2.77GB
2024-03-09 11:10:37,pgsql,60,2.76GB,2.77GB
2024-03-09 11:10:39,pgsql,60,2.76GB,2.77GB
2024-03-09 11:10:42,pgsql,60,2.76GB,2.77GB
2024-03-09 11:10:44,pgsql,60,2.76GB,2.77GB
2024-03-09 11:10:46,pgsql,61,2.76GB,2.77GB
2024-03-09 11:10:48,pgsql,61,2.77GB,2.77GB
2024-03-09 11:10:50,pgsql,61,2.77GB,2.77GB
2024-03-09 11:10:52,pgsql,61,2.77GB,2.77GB
2024-03-09 11:10:54,pgsql,62,2.77GB,2.77GB
2024-03-09 11:10:56,pgsql,62,2.77GB,2.77GB
2024-03-09 11:10:58,pgsql,62,2.77GB,2.77GB
2024-03-09 11:11:00,pgsql,62,2.77GB,2.77GB
2024-03-09 11:11:02,pgsql,62,2.77GB,2.77GB
2024-03-09 11:11:05,pgsql,62,2.77GB,2.77GB
2024-03-09 11:11:07,pgsql,63,2.77GB,2.77GB
2024-03-09 11:11:09,pgsql,63,2.77GB,2.77GB
2024-03-09 11:11:11,pgsql,63,2.77GB,2.77GB
2024-03-09 11:11:13,pgsql,63,2.77GB,2.77GB
2024-03-09 11:11:15,pgsql,64,2.77GB,2.77GB
2024-03-09 11:11:17,pgsql,64,2.77GB,2.77GB
2024-03-09 11:11:19,pgsql,64,2.77GB,2.77GB
2024-03-09 11:11:21,pgsql,64,2.77GB,2.77GB
2024-03-09 11:11:23,pgsql,64,2.77GB,2.77GB
2024-03-09 11:11:25,pgsql,65,2.77GB,2.78GB
2024-03-09 11:11:27,pgsql,65,2.77GB,2.78GB
2024-03-09 11:11:30,pgsql,65,2.78GB,2.78GB
2024-03-09 11:11:32,pgsql,66,2.78GB,2.78GB
2024-03-09 11:11:34,pgsql,66,2.78GB,2.78GB
